parameter,combine_value,combine_error,rabbit_value,rabbit_error,dvalue_over_sigma,error_ratio
CMS_elEff,0.0,0.9984368366842621,0.0,0.9984647406544905,0.0,1.0000279476569807
CMS_elScale,0.0,0.9876103627068437,0.0,0.9999812560466103,0.0,1.0125260870145798
CMS_elSmear,0.0,0.999803810602607,0.0,0.9999941239714771,0.0,1.0001903507136618
CMS_flavTag_BDecay_ttbar,0.0,0.9993032761355111,0.0,0.9995925619275724,0.0,1.0002894874849004
CMS_flavTag_CDecay_ttbar,0.0,0.9988603953891065,0.0,0.9997775878831888,0.0,1.0009182389233933
CMS_flavTag_EleID,0.0,0.9980317412669851,0.0,0.9996109819477029,0.0,1.0015823551650902
CMS_flavTag_EleReco,0.0,0.999542473618689,0.0,0.9999268477166025,0.0,1.0003845500397015
CMS_flavTag_EleScale,0.0,0.9901365318246985,0.0,0.9989935330493176,0.0,1.0089452322381205
CMS_flavTag_EleSmear,0.0,0.9920994388279926,0.0,0.999947825461283,0.0,1.0079108870805955
CMS_flavTag_EleTrigger,0.0,0.9999822934451333,0.0,0.999993609091775,0.0,1.0000113158470063
CMS_flavTag_HDamp_ttbar,0.0,0.9684475105704888,0.0,0.9682474727715992,0.0,0.9997934448726377
CMS_flavTag_JEReta0to1p93_2024,0.0,0.9986396692505872,0.0,0.9997875137465445,0.0,1.0011494080711
CMS_flavTag_JEReta1p93to2p5_2024,0.0,0.9853677143302523,0.0,0.9992792381565008,0.0,1.0141181039564546
CMS_flavTag_JES_Absolute,0.0,1.002556891404964,0.0,0.9987523957299258,0.0,0.9962052071980606
CMS_flavTag_JES_Absolute_2024,0.0,0.9779662113246657,0.0,0.9973186597034692,0.0,1.019788463195053
CMS_flavTag_JES_BBEC1,0.0,0.9913910051032957,0.0,0.9952467602567063,0.0,1.003889237579888
CMS_flavTag_JES_BBEC1_2024,0.0,0.7193258541803826,0.0,0.9975618562530033,0.0,1.3868010588742838
CMS_flavTag_JES_FlavorQCD,0.0,0.9845521244936004,0.0,0.9996577217810129,0.0,1.0153426079855161
CMS_flavTag_JES_RelativeBal,0.0,0.8511387678941883,0.0,0.9936754385786167,0.0,1.1674658423056912
CMS_flavTag_JES_RelativeSample_2024,0.0,0.9495882758689531,0.0,0.9997741024980472,0.0,1.0528500908282274
CMS_flavTag_LHE_PDF_singlet,0.0,0.9999999997044373,0.0,0.999999999511965,0.0,0.9999999998075277
CMS_flavTag_LHE_PDF_ttbar,0.0,0.9998147799150083,0.0,0.9998502360063493,0.0,1.0000354626597379
CMS_flavTag_LHE_PDF_wjets,0.0,0.9995685131113944,0.0,0.9997016927318297,0.0,1.0001332371105016
CMS_flavTag_LHE_PDF_zjets,0.0,0.979973493847906,0.0,0.9979513237696623,0.0,1.0183452205948609
CMS_flavTag_LHE_aS_ttbar,0.0,0.9995682002558245,0.0,0.999754975498789,0.0,1.0001868559273062
CMS_flavTag_LHE_aS_wjets,0.0,0.9999999289155596,0.0,0.9999997855524054,0.0,0.9999998566368357
