389 shared parameters, 67 combine-only, 1 rabbit-only
  combine-only: ['prop_binVcb_cat2B_CR_bin0', 'prop_binVcb_cat2B_CR_bin1', 'prop_binVcb_cat2B_CR_bin2', 'prop_binVcb_cat2B_CR_bin3', 'prop_binVcb_cat2B_CR_bin4', 'prop_binVcb_cat2B_CR_bin5', 'prop_binVcb_cat2B_CR_bin6', 'prop_binVcb_cat2B_CR_bin7', 'prop_binVcb_cat2C_CR_bin0', 'prop_binVcb_cat2C_CR_bin1', 'prop_binVcb_cat2C_CR_bin2', 'prop_binVcb_cat2C_CR_bin3'] ...
  rabbit-only : ['tt-vcb']

  |dvalue|/sigma : max 0.583  median 0.0064
  error ratio    : min 0.417  max 3.186  median 1.0000

  87 parameters outside tolerance (dv/sigma > 0.05, |ratio-1| > 0.05)

parameter                                         combine             rabbit   dv/sig  err ratio
CMS_flavTag_Stat_flavC_B0_2024            0.7796+-0.3881     0.5535+-0.3573    -0.583      0.921
CMS_flavTag_Stat_flavL_C3_2024            0.2308+-0.6082    -0.0513+-0.5893    -0.464      0.969
xsec_ttcj                                 0.9789+-0.3250     1.1179+-0.2693     0.428      0.829
xsec_tt2c                                 0.5276+-0.3670     0.6534+-0.4645     0.343      1.266
CMS_flavTag_Stat_flavL_B1_2024            0.9398+-0.7935     0.6752+-0.8609    -0.333      1.085
CMS_flavTag_Stat_flavL_B0_2024            0.7535+-0.3040     0.8489+-0.4072     0.314      1.340
topHdampWeight_ttLF_2024                  0.0016+-0.8650    -0.2256+-0.8976    -0.263      1.038
xsec_ttcc                                 0.6922+-0.1492     0.7286+-0.1675     0.244      1.123
CMS_flavTag_PS_FSR_zjets                  0.1660+-1.0210    -0.0748+-1.9323    -0.236      1.893
CMS_flavTag_Stat_flavC_C2_2024            0.4792+-0.2816     0.4234+-0.3485    -0.198      1.238
PS_fsr_Q2QG_muR_ttLF_2024                -0.7533+-0.8309    -0.9119+-0.8804    -0.191      1.060
CMS_flavTag_Stat_flavL_C4_2024            0.5693+-0.3732     0.6388+-0.4955     0.186      1.328
CMS_flavTag_Stat_flavC_B1_2024            1.1625+-0.8016     1.0465+-0.7340    -0.145      0.916
jer                                       0.4053+-0.4725     0.3380+-0.5099    -0.143      1.079
norm_ttbb-dps                             0.7559+-1.2027     0.9239+-1.2286     0.140      1.021
minorBkg_PS_FSR_wjets_2024               -0.9179+-0.8562    -0.8042+-0.8388     0.133      0.980
xsec_ttbb                                 0.7599+-0.1051     0.7735+-0.1190     0.129      1.132
CMS_flavTag_JES_BBEC1_2024               -0.0460+-1.3476    -0.1986+-1.2978    -0.113      0.963
CMS_flavTag_Stat_flavB_C0_2024            0.6248+-0.9383     0.7222+-0.9634     0.104      1.027
norm_singletop                           -0.7278+-0.7864    -0.6518+-0.7758     0.097      0.987
CMS_flavTag_JES_RelativeBal               0.1596+-0.0000     0.2519+-1.0508     0.092        nan
CMS_flavTag_Stat_flavC_B2_2024            0.0150+-1.0709    -0.0789+-0.9958    -0.088      0.930
CMS_flavTag_PS_ISR_zjets                 -0.0367+-1.0905    -0.1305+-1.1127    -0.086      1.020
LHE_muR_tt2c_2024                        -0.1099+-1.0246    -0.1977+-1.0362    -0.086      1.011
CMS_flavTag_Stat_flavL_C2_2024            0.3276+-0.2190     0.3094+-0.2102    -0.083      0.960
CMS_flavTag_LHE_muF_zjets                 0.0938+-1.0088     0.0098+-1.3976    -0.083      1.385
PS_fsr_X2XG_muR_ttbb_2024                -0.0248+-0.9899    -0.1053+-0.9991    -0.081      1.009
jes_Absolute_2024                         0.1848+-0.8858     0.1129+-0.4983    -0.081      0.562
xsec_ttLF                                 0.8298+-0.0487     0.8335+-0.0545     0.076      1.118
LHE_muR_ttLF_2024                        -0.1676+-0.9963    -0.0919+-0.9546     0.076      0.958
CMS_flavTag_Stat_flavC_C1_2024           -0.2269+-0.3672    -0.2546+-0.3907    -0.075      1.064
PS_fsr_X2XG_muR_ttcj_2024                -0.1618+-1.0349    -0.2371+-1.0060    -0.073      0.972
PS_fsr_X2XG_muR_ttcc_2024                -0.0580+-1.0281    -0.1301+-1.0857    -0.070      1.056
PS_fsr_G2GG_muR_ttbj_2024                -0.0794+-0.9881    -0.0103+-1.0212     0.070      1.034
topHdampWeight_ttcj_2024                  0.0926+-0.9758     0.1537+-0.9499     0.063      0.973
topHdampWeight_tt2c_2024                  0.1013+-0.9975     0.1627+-1.0083     0.062      1.011
PS_fsr_G2QQ_cNS_ttLF_2024                 0.0208+-0.9419     0.0782+-0.8486     0.061      0.901
PS_fsr_Q2QG_muR_tt2c_2024                -0.1097+-1.0634    -0.1739+-1.1083    -0.060      1.042
jes_BBEC1                                -0.2349+-0.0000    -0.2928+-0.7293    -0.058        nan
PS_fsr_G2GG_muR_ttcj_2024                 0.2516+-0.8602     0.2023+-0.8251    -0.057      0.959

wrote Comparison_250826_preUnblinding/compare/nonSmoothed_CRo_legA.csv
