parameter,combine_value,combine_error,rabbit_value,rabbit_error,dvalue_over_sigma,error_ratio
CMS_elEff,0.0,0.9978798686753839,0.0,0.9972849774007637,0.0,0.9994038447980619
CMS_elScale,0.0,0.9847119607934877,0.0,0.9999932429191611,0.0,1.015518530021063
CMS_elSmear,0.0,0.9988375653269147,0.0,0.999952372120102,0.0,1.001116104191398
CMS_flavTag_BDecay_ttbar,0.0,0.9992742583686349,0.0,0.9994405805932227,0.0,1.000166443019216
CMS_flavTag_CDecay_ttbar,0.0,0.9971608264803068,0.0,0.9996902192200275,0.0,1.0025365945718594
CMS_flavTag_EleID,0.0,0.9977994143905646,0.0,0.999571533363124,0.0,1.0017760272726175
CMS_flavTag_EleReco,0.0,0.9994125852435586,0.0,0.9999232466108317,0.0,1.000510961513606
CMS_flavTag_EleScale,0.0,0.9899386513253033,0.0,0.9986757986162215,0.0,1.00882594823348
CMS_flavTag_EleSmear,0.0,0.9921111382331983,0.0,0.9999090309081224,0.0,1.0078598983263216
CMS_flavTag_EleTrigger,0.0,0.9999804879779233,0.0,0.9999924577384718,0.0,1.0000119699941072
CMS_flavTag_HDamp_ttbar,0.0,0.9892541010085186,0.0,0.9657636577076356,0.0,0.9762543887592328
CMS_flavTag_JEReta0to1p93_2024,0.0,0.9986797449867741,0.0,0.9997313150931606,0.0,1.001052960282478
CMS_flavTag_JEReta1p93to2p5_2024,0.0,0.9846721396721371,0.0,0.9991356801541236,0.0,1.0146886866188805
CMS_flavTag_JES_Absolute,0.0,1.0114443045407757,0.0,0.9984633555324162,0.0,0.9871659280198792
CMS_flavTag_JES_Absolute_2024,0.0,1.0578045810629222,0.0,0.9966284504932109,0.0,0.9421668882278434
CMS_flavTag_JES_BBEC1,0.0,0.9833853006626917,0.0,0.9940849226112817,0.0,1.0108803964645188
CMS_flavTag_JES_BBEC1_2024,0.0,0.7839313878764723,0.0,0.9973321709379268,0.0,1.2722186996996234
CMS_flavTag_JES_FlavorQCD,0.0,1.043575642270047,0.0,0.9995334401771053,0.0,0.9577968282230711
CMS_flavTag_JES_RelativeBal,0.0,0.7491549515653111,0.0,0.9914419179083798,0.0,1.323413688766023
CMS_flavTag_JES_RelativeSample_2024,0.0,0.9331714979006283,0.0,0.9996367744999328,0.0,1.0712251464482494
CMS_flavTag_LHE_PDF_singlet,0.0,0.999999993720445,0.0,0.9999999970399979,0.0,1.0000000033195529
CMS_flavTag_LHE_PDF_ttbar,0.0,0.9998680278329293,0.0,0.9998407549238428,0.0,0.9999727234911736
CMS_flavTag_LHE_PDF_wjets,0.0,0.999698263082078,0.0,0.9995968244789566,0.0,0.9998985307798689
CMS_flavTag_LHE_PDF_zjets,0.0,0.9785799876980515,0.0,0.9975698416309359,0.0,1.0194055204189847
CMS_flavTag_LHE_aS_singlet,0.0,0.9999999999466673,0.0,0.9999999999923774,0.0,1.00000000004571
CMS_flavTag_LHE_aS_ttbar,0.0,0.9995637627266726,0.0,0.9997083359306598,0.0,1.0001446362997322
CMS_flavTag_LHE_aS_wjets,0.0,0.9999999979205876,0.0,0.9999999979392896,0.0,1.0000000000187022
CMS_flavTag_LHE_aS_zjets,0.0,0.9775761859813772,0.0,0.9985607199196685,0.0,1.0214658808584063
CMS_flavTag_LHE_muF_singlet,0.0,0.9999892214918289,0.0,0.9999915991691575,0.0,1.0000023777029567
CMS_flavTag_LHE_muF_ttbar,0.0,1.0079605404964762,0.0,0.9961400343127643,0.0,0.988272848282444
CMS_flavTag_LHE_muF_wjets,0.0,0.9945556680714704,0.0,0.9978949855060343,0.0,1.0033575973087951
CMS_flavTag_LHE_muF_zjets,0.0,0.9060643413786107,0.0,0.9965505277833495,0.0,1.0998672856577278
CMS_flavTag_LHE_muR_singlet,0.0,0.9999999870317398,0.0,0.9999999903515123,0.0,1.0000000033197727
CMS_flavTag_LHE_muR_ttbar,0.0,1.0243980533510024,0.0,0.972142095315955,0.0,0.9489886203277055
CMS_flavTag_LHE_muR_wjets,0.0,0.9681827076139473,0.0,0.9984856317638787,0.0,1.0312987661436466
CMS_flavTag_LHE_muR_zjets,0.0,0.9880792102783151,0.0,0.9992126127931291,0.0,1.011267722667374
CMS_flavTag_MuID,0.0,0.9855007773607655,0.0,0.9986803601814547,0.0,1.0133734880006742
CMS_flavTag_MuIso,0.0,0.9846170143179289,0.0,0.9986512889045153,0.0,1.0142535365350236
CMS_flavTag_MuResol,0.0,0.9999999966674549,0.0,0.9999999998907864,0.0,1.0000000032233316
CMS_flavTag_MuScale,0.0,0.9999970336220191,0.0,0.9999999656325245,0.0,1.0000029320192028
CMS_flavTag_MuTrigger,0.0,0.9828932771127823,0.0,0.998478323330065,0.0,1.0158562954699042
