parameter,combine_value,combine_error,rabbit_value,rabbit_error,dvalue_over_sigma,error_ratio
CMS_flavTag_Stat_flavC_B0_2024,0.7835133842384372,0.3922355263379635,0.5529416317299998,0.356313507718672,-0.5878400527895297,0.9084172233079676
CMS_flavTag_Stat_flavL_C3_2024,0.2293881100860791,0.5707260428975841,-0.0512884236915123,0.5891173468528664,-0.49178855121555815,1.032224399401698
xsec_ttcj,0.981238688037933,0.3184222174265873,1.1187690062243445,0.2690879651907333,0.43191181600925604,0.8450665514656557
xsec_tt2c,0.5236763158752414,0.372791616593969,0.6548957046999045,0.4647318844992851,0.35199125458763325,1.2466264363596302
CMS_flavTag_Stat_flavL_B1_2024,0.9326655611141278,0.7906247038271096,0.6744499571940314,0.8610006307879027,-0.3265969336275152,1.0890130634928687
CMS_flavTag_Stat_flavL_B0_2024,0.752574555664602,0.30372873334461575,0.8486386544315329,0.40618186214076285,0.3162825515685898,1.3373178680460964
topHdampWeight_ttLF_2024,0.014000281076366623,0.8745470730194463,-0.22684242838321708,0.8961721403307654,-0.2753913618715277,1.0247271621831135
CMS_flavTag_PS_FSR_zjets,0.1879331266450368,1.0169285993464707,-0.08209746023811694,1.8645566473074369,-0.26553544374372884,1.8335177597578576
xsec_ttcc,0.6926599929798595,0.1499969055914913,0.7290779425481713,0.1672367646143048,0.2427913390926488,1.114934764519512
CMS_flavTag_Stat_flavC_C2_2024,0.48309086688354563,0.2846981583374965,0.4224042804538368,0.3480113374934057,-0.2131611485795692,1.222387034484622
PS_fsr_Q2QG_muR_ttLF_2024,-0.7512340021645447,0.8327729570359594,-0.9132588401166151,0.8804418100698955,-0.1945606381465075,1.057241115517969
CMS_flavTag_Stat_flavL_C4_2024,0.5693882438628602,0.3686823795345481,0.6381362952944941,0.49542626589015987,0.18646958804602082,1.3437752748466651
CMS_flavTag_Stat_flavC_B1_2024,1.172130026987197,0.7963588817968826,1.0462700145146098,0.7337397633524587,-0.15804433823680114,0.9213682174258774
jer,0.40229755361949254,0.4560917562840651,0.3370292782447366,0.5095369785689847,-0.143103387587004,1.1171808557127978
norm_ttbb-dps,0.7553759783963955,1.2191039805529538,0.9240314469273327,1.2280759293144683,0.13834379283581663,1.0073594614607402
minorBkg_PS_FSR_wjets_2024,-0.9196485219236419,0.8632823984501752,-0.8044389822773038,0.8388171432295018,0.1334552168017908,0.9716601945497846
xsec_ttbb,0.7604330347115312,0.11009631804328608,0.7734037359369461,0.11883106165006022,0.11781230704114237,1.0793372908559933
CMS_flavTag_Stat_flavB_C0_2024,0.627035608073497,0.9373357582416951,0.731167429373727,0.9636551278227732,0.11109340530821751,1.0280789133985984
CMS_flavTag_JES_BBEC1_2024,-0.04931768809202604,1.486215515741344,-0.1944338092612499,1.3159753893102148,-0.0976413714109545,0.8854539435041417
CMS_flavTag_JES_RelativeBal,0.15312606764027717,0.0,0.2484883116492946,1.0576417415397414,0.09536224400901744,nan
jes_Absolute_2024,0.18950931508293553,0.8128486871281186,0.11243291377639275,0.49774744619414435,-0.09482256971941722,0.6123494496284902
LHE_muR_tt2c_2024,-0.10589380510517599,1.0232240247403,-0.19835678338708218,1.0360122958724427,-0.09036435428241027,1.0124980168789415
CMS_flavTag_Stat_flavC_B2_2024,0.01332805054222887,1.0371233569000966,-0.07960968758876567,0.9946899214570322,-0.08961107423978977,0.9590854499990284
LHE_muR_ttLF_2024,-0.17812632512408624,0.9780614007026691,-0.09065196019092385,0.9543338023977166,0.08943647594140627,0.9757401751179364
norm_singletop,-0.720917415627013,0.8033932997208562,-0.6508942483638214,0.7750443117357863,0.0871592622038565,0.9647134373725548
