parameter,combine_value,combine_error,rabbit_value,rabbit_error,dvalue_over_sigma,error_ratio
xsec_ttcc,0.6926599929798595,0.1499969055914913,1.0609726182559758,0.2664855280331124,2.455468156651154,1.7766068372028403
xsec_ttLF,0.8295473987563565,0.04881302711334201,0.9343973303748048,0.09366372208393889,2.1479907684272614,1.9188263384373858
xsec_ttbb,0.7604330347115312,0.11009631804328608,0.9547642635663883,0.14922469386422338,1.7651019789640263,1.3554013114730445
xsec_ttbj,1.2264031468882741,0.271770531018216,1.592574970572364,0.3440406774379512,1.3473566185126464,1.265923410271775
xsec_tt2b,1.0019841754122722,0.16868726278702043,1.2256611427026685,0.22919496633814704,1.3259861094124468,1.358697524350264
xsec_tt2c,0.5236763158752414,0.372791616593969,1.013912897966352,0.42587468332298417,1.3150418632537502,1.1423934025502278
CMS_flavTag_Stat_flavC_C2_2024,0.48309086688354563,0.2846981583374965,0.13533756533627653,0.23413689503268345,-1.2214806852913451,0.8224039677668901
xsec_ttcj,0.981238688037933,0.3184222174265873,1.3078870517528844,0.28268811452448,1.0258340839243125,0.8877776080108297
CMS_flavTag_Stat_flavC_B0_2024,0.7835133842384372,0.3922355263379635,0.4111085417500428,0.29767075886051464,-0.9494418977426274,0.7589082040570475
CMS_flavTag_Stat_flavL_C4_2024,0.5693882438628602,0.3686823795345481,0.23463325793533177,0.5965161771920612,-0.9079766338444164,1.6179676879191984
CMS_flavTag_Stat_flavL_C3_2024,0.2293881100860791,0.5707260428975841,-0.2533845679445865,0.6490719677280563,-0.8458921474471743,1.1372741366991226
CMS_flavTag_Stat_flavL_B1_2024,0.9326655611141278,0.7906247038271096,0.3122025016734742,0.880272400312945,-0.7847757051319431,1.1133884332881143
CMS_flavTag_Stat_flavC_B1_2024,1.172130026987197,0.7963588817968826,0.6365144864582404,0.6676416467620664,-0.6725806075276115,0.8383678037916998
CMS_flavTag_Stat_flavC_C1_2024,-0.22150306532578404,0.3669958952169817,-0.4677597627813353,0.33260559001730494,-0.6710066806331855,0.9062923982314736
norm_wjets,0.7023751331785171,0.9605694899824825,1.2636696026874394,0.8754230670693105,0.5843351005445306,0.9113583933269369
jes_Absolute_2024,0.18950931508293553,0.8128486871281186,-0.26962879200024104,0.952445332886955,-0.5648506473023419,1.1717375545651014
CMS_flavTag_xsec_zjets_c,-0.12523027488819738,1.1523628184362709,0.4995625722063034,0.91304965366057,0.5421841429614416,0.7923282832915043
CMS_flavTag_Stat_flavL_C2_2024,0.3279466732164138,0.21582078766695967,0.21349572460169539,0.2523624747904884,-0.5303054902724733,1.1693149557952567
PS_isr_G2GG_muR_ttLF_2024,-0.290513201397473,0.9585206406788023,0.2170250959239663,0.9316577054574017,0.5295016881034637,0.9719745886720009
norm_ttbb-dps,0.7553759783963955,1.2191039805529538,0.12110680468723994,1.0124434768433004,-0.5202748771449893,0.830481643070415
jer,0.40229755361949254,0.4560917562840651,0.1833411513860254,0.5745079653830757,-0.48007094891909363,1.259632425860506
CMS_pileup_2024,1.1028673894400574,0.6317127797906572,0.8074654017746541,0.9475705786448175,-0.4676207243476953,1.5000022303788634
