parameter,combine_value,combine_error,rabbit_value,rabbit_error,dvalue_over_sigma,error_ratio
CMS_elEff,0.0,0.9979231985601672,0.0,0.9973413453232417,0.0,0.9994169358546179
CMS_elScale,0.0,0.9841293681705491,0.0,0.9999932399966154,0.0,1.0161197016765757
CMS_elSmear,0.0,0.9986641130069717,0.0,0.999948574524004,0.0,1.0012861797077746
CMS_flavTag_BDecay_ttbar,0.0,0.9992856756235756,0.0,0.9996976083392537,0.0,1.000412227179601
CMS_flavTag_CDecay_ttbar,0.0,0.9971729920261677,0.0,0.9998199291663521,0.0,1.0026544412668117
CMS_flavTag_EleID,0.0,0.9974506520885679,0.0,0.9998030165191977,0.0,1.0023583767534807
CMS_flavTag_EleReco,0.0,0.9990251850479267,0.0,0.9999123714382123,0.0,1.0008880520767283
CMS_flavTag_EleScale,0.0,0.9899664685630508,0.0,0.9986761370321887,0.0,1.0087979429058644
CMS_flavTag_EleSmear,0.0,0.9921978484287504,0.0,0.9999220186859171,0.0,1.0077849092994897
CMS_flavTag_EleTrigger,0.0,0.9999528029452541,0.0,0.9999934571565894,0.0,1.000040656130185
CMS_flavTag_HDamp_ttbar,0.0,0.9892433019267107,0.0,0.9657644302761768,0.0,0.9762658270166651
CMS_flavTag_JEReta0to1p93_2024,0.0,0.9985697315240264,0.0,0.9997583880979996,0.0,1.0011903591070792
CMS_flavTag_JEReta1p93to2p5_2024,0.0,0.9846034360445126,0.0,0.999230159941982,0.0,1.0148554467331843
CMS_flavTag_JES_Absolute,0.0,1.0114264819255687,0.0,0.9984595826754887,0.0,0.9871795928999274
CMS_flavTag_JES_Absolute_2024,0.0,1.0578680443085828,0.0,0.9966249767718106,0.0,0.9421070823849298
CMS_flavTag_JES_BBEC1,0.0,0.9833494131959729,0.0,0.9940896247450843,0.0,1.0109220704309008
CMS_flavTag_JES_BBEC1_2024,0.0,0.7839307311621362,0.0,0.9973261427585339,0.0,1.2722120757787492
CMS_flavTag_JES_FlavorQCD,0.0,1.0435883587795085,0.0,0.9995320988654512,0.0,0.957783871827028
CMS_flavTag_JES_RelativeBal,0.0,0.7491156713843907,0.0,0.9914319543088462,0.0,1.3234697820119647
CMS_flavTag_JES_RelativeSample_2024,0.0,0.9331521439611717,0.0,0.9996290359052352,0.0,1.0712390711142485
CMS_flavTag_LHE_PDF_diboson,0.0,1.0,0.0,1.0,0.0,1.0
CMS_flavTag_LHE_PDF_singlet,0.0,0.9999760065965487,0.0,0.9999987357300946,0.0,1.0000227296789082
CMS_flavTag_LHE_PDF_ttbar,0.0,0.9998362335121651,0.0,0.9999189487139079,0.0,1.0000827287499396
CMS_flavTag_LHE_PDF_wjets,0.0,0.9996828667886523,0.0,0.9995834537155108,0.0,0.9999005553896699
CMS_flavTag_LHE_PDF_zjets,0.0,0.9787405456390539,0.0,0.9979381165414426,0.0,1.0196145658703186
CMS_flavTag_LHE_aS_diboson,0.0,1.0,0.0,1.0,0.0,1.0
CMS_flavTag_LHE_aS_singlet,0.0,0.9999994122552538,0.0,0.9999995768353024,0.0,1.0000001645801453
CMS_flavTag_LHE_aS_ttbar,0.0,0.9995384486179099,0.0,0.9999229184294112,0.0,1.0003846473460154
CMS_flavTag_LHE_aS_wjets,0.0,0.9999921946801522,0.0,0.9999949398573618,0.0,1.0000027451986366
CMS_flavTag_LHE_aS_zjets,0.0,0.9775864636041085,0.0,0.9985678390306009,0.0,1.0214624242536454
CMS_flavTag_LHE_muF_diboson,0.0,1.0,0.0,1.0,0.0,1.0
CMS_flavTag_LHE_muF_singlet,0.0,0.9999165356103162,0.0,0.999971629634436,0.0,1.0000550986228927
CMS_flavTag_LHE_muF_ttbar,0.0,1.0080036919596675,0.0,0.9961623560043158,0.0,0.9882526859278353
CMS_flavTag_LHE_muF_wjets,0.0,0.9945123743664144,0.0,0.9978942965098119,0.0,1.0034005832713264
CMS_flavTag_LHE_muF_zjets,0.0,0.9060651932761211,0.0,0.9965454406785016,0.0,1.0998606370422694
CMS_flavTag_LHE_muR_diboson,0.0,1.0,0.0,1.0,0.0,1.0
CMS_flavTag_LHE_muR_singlet,0.0,0.9999681160670181,0.0,0.9999956971957076,0.0,1.0000275820081124
CMS_flavTag_LHE_muR_ttbar,0.0,1.024404204075264,0.0,0.972141764071529,0.0,0.9489825990601898
CMS_flavTag_LHE_muR_wjets,0.0,0.9681935274204009,0.0,0.9984787395775935,0.0,1.0312801225162935
CMS_flavTag_LHE_muR_zjets,0.0,0.9881000346033183,0.0,0.9991743191338569,0.0,1.0112076552400735
CMS_flavTag_Lumi_2024,0.0,0.9999997984878132,0.0,0.9999998786039979,0.0,1.0000000801162008
CMS_flavTag_MET_UnclEnergy,0.0,1.0,0.0,1.0,0.0,1.0
CMS_flavTag_MuID,0.0,0.9855181042477683,0.0,0.9986856134050334,0.0,1.0133610017923675
CMS_flavTag_MuIso,0.0,0.9846284883455827,0.0,0.9986536090666248,0.0,1.0142440736653962
CMS_flavTag_MuResol,0.0,0.999963346738591,0.0,0.9999997809980983,0.0,1.0000364355949907
CMS_flavTag_MuScale,0.0,0.999970506537677,0.0,0.9999996162072718,0.0,1.0000291105281651
CMS_flavTag_MuTrigger,0.0,0.9829010797295095,0.0,0.9984780525935241,0.0,1.0158479557966316
CMS_flavTag_PS_FSR_diboson,0.0,1.0,0.0,1.0,0.0,1.0
CMS_flavTag_PS_FSR_singlet,0.0,0.9998580021480746,0.0,0.999935834384248,0.0,1.0000778432897532
CMS_flavTag_PS_FSR_ttbar,0.0,0.9982091256556612,0.0,0.9873335210945073,0.0,0.9891048836545043
CMS_flavTag_PS_FSR_wjets,0.0,0.9974250490154971,0.0,0.9926878688437537,0.0,0.995250590331154
CMS_flavTag_PS_FSR_zjets,0.0,0.9018898627404374,0.0,0.9461331000197863,0.0,1.0490561421157498
CMS_flavTag_PS_ISR_diboson,0.0,1.0,0.0,1.0,0.0,1.0
CMS_flavTag_PS_ISR_singlet,0.0,0.9999961071483763,0.0,0.9999970399444428,0.0,1.0000009327996977
CMS_flavTag_PS_ISR_ttbar,0.0,1.0094005247176667,0.0,0.9997244436046355,0.0,0.9904140320159457
CMS_flavTag_PS_ISR_wjets,0.0,1.0062507039327329,0.0,0.9943936002528524,0.0,0.988216551170062
CMS_flavTag_PS_ISR_zjets,0.0,1.0162563167430823,0.0,0.9897496634549017,0.0,0.9739173544592278
CMS_flavTag_PU_2024,0.0,1.0019077619597072,0.0,0.9788812767835047,0.0,0.9770173602296849
CMS_flavTag_Stat_flavB_B0_2024,0.0,0.9996779020059049,0.0,0.9994755656169836,0.0,0.9997975984179351
CMS_flavTag_Stat_flavB_B1_2024,0.0,0.9997167877886272,0.0,0.9996216309730551,0.0,0.9999048162272212
CMS_flavTag_Stat_flavB_B2_2024,0.0,0.9999543546827777,0.0,0.9999072415443825,0.0,0.9999528847110125
CMS_flavTag_Stat_flavB_B3_2024,0.0,0.9999383604546243,0.0,0.9999200001540174,0.0,0.9999816385676028
CMS_flavTag_Stat_flavB_B4_2024,0.0,0.0,0.0,0.9908862970856959,0.0,nan
CMS_flavTag_Stat_flavB_C0_2024,0.0,2.8149609659600014,0.0,0.9758130944335061,0.0,0.3466524425146759
CMS_flavTag_Stat_flavB_C1_2024,0.0,0.9997115409517453,0.0,0.9990753327151807,0.0,0.9993636081904597
CMS_flavTag_Stat_flavB_C2_2024,0.0,0.9997173423023692,0.0,0.9995903423365101,0.0,0.9998729641264734
CMS_flavTag_Stat_flavB_C3_2024,0.0,0.9999159790728238,0.0,0.9998938379298629,0.0,0.9999778569965634
CMS_flavTag_Stat_flavB_C4_2024,0.0,0.9933435974341043,0.0,0.9988065284844448,0.0,1.0054995381904628
CMS_flavTag_Stat_flavC_B0_2024,0.0,0.6169015841287886,0.0,0.3938077252312974,0.0,0.6383639390186481
CMS_flavTag_Stat_flavC_B1_2024,0.0,0.9791549383524768,0.0,0.6989687407890497,0.0,0.7138489665028217
CMS_flavTag_Stat_flavC_B2_2024,0.0,1.2563523788095343,0.0,0.9767864374307436,0.0,0.7774780817116808
CMS_flavTag_Stat_flavC_B3_2024,0.0,0.994895118287988,0.0,0.9964490695701801,0.0,1.0015619247231469
CMS_flavTag_Stat_flavC_B4_2024,0.0,0.9973431898562483,0.0,0.9989659319320628,0.0,1.0016270648782877
CMS_flavTag_Stat_flavC_C0_2024,0.0,0.8281646106340829,0.0,0.5375612383707674,0.0,0.6490995044562271
CMS_flavTag_Stat_flavC_C1_2024,0.0,0.49394686757891004,0.0,0.329971197470132,0.0,0.6680297398938717
CMS_flavTag_Stat_flavC_C2_2024,0.0,0.5823342861608347,0.0,0.3829989210810748,0.0,0.6576959835322052
CMS_flavTag_Stat_flavC_C3_2024,0.0,0.999969681514771,0.0,0.9998193119585967,0.0,0.9998496258847104
CMS_flavTag_Stat_flavC_C4_2024,0.0,0.9998378360492892,0.0,0.9998148870898076,0.0,0.9999770473184209
CMS_flavTag_Stat_flavL_B0_2024,0.0,0.5252737026064068,0.0,0.43946108640360504,0.0,0.8366325674081916
CMS_flavTag_Stat_flavL_B1_2024,0.0,1.5525468467934942,0.0,0.9075813586045426,0.0,0.5845758280846651
CMS_flavTag_Stat_flavL_B2_2024,0.0,1.0645974211582667,0.0,0.992748039235598,0.0,0.9325102799474212
CMS_flavTag_Stat_flavL_B3_2024,0.0,0.9955074818804545,0.0,0.9969936584704007,0.0,1.0014928833956516
CMS_flavTag_Stat_flavL_B4_2024,0.0,0.991452444978641,0.0,0.9910522174000304,0.0,0.9995963219611412
CMS_flavTag_Stat_flavL_C0_2024,0.0,1.000525031660905,0.0,0.9995990259643881,0.0,0.9990744802306649
CMS_flavTag_Stat_flavL_C1_2024,0.0,1.2917773689412093,0.0,0.9989023170670022,0.0,0.7732774556081139
CMS_flavTag_Stat_flavL_C2_2024,0.0,0.4282830526933901,0.0,0.25734739557895253,0.0,0.600881575772247
CMS_flavTag_Stat_flavL_C3_2024,0.0,1.2474285291920222,0.0,0.5990051681525306,0.0,0.48019197423720544
