parameter,combine_value,combine_error,rabbit_value,rabbit_error,dvalue_over_sigma,error_ratio
CMS_elEff,0.0,0.9979231985601672,0.0,0.9987966918970247,0.0,1.0008753111843856
CMS_elScale,0.0,0.9841293681705491,0.0,0.9999945070997539,0.0,1.0161209892137426
CMS_elSmear,0.0,0.9986641130069717,0.0,0.9999969030435528,0.0,1.0013345728751264
CMS_flavTag_BDecay_ttbar,0.0,0.9992856756235756,0.0,0.9997857348173376,0.0,1.000500416653576
CMS_flavTag_CDecay_ttbar,0.0,0.9971729920261677,0.0,0.9998273858668416,0.0,1.0026619191072157
CMS_flavTag_EleID,0.0,0.9974506520885679,0.0,0.9997492010381888,0.0,1.0023044237274374
CMS_flavTag_EleReco,0.0,0.9990251850479267,0.0,0.9997676128656673,0.0,1.0007431522536692
CMS_flavTag_EleScale,0.0,0.9899664685630508,0.0,0.9999170691743154,0.0,1.0100514521726256
CMS_flavTag_EleSmear,0.0,0.9921978484287504,0.0,0.9999379251659422,0.0,1.0078009408601813
CMS_flavTag_HDamp_ttbar,0.0,0.9892433019267107,0.0,0.9663206803420719,0.0,0.9768281255581985
CMS_flavTag_JEReta0to1p93_2024,0.0,0.9985697315240264,0.0,0.9996540705935647,0.0,1.0010858921869015
CMS_flavTag_JEReta1p93to2p5_2024,0.0,0.9846034360445126,0.0,0.9982213408548631,0.0,1.013830852414103
CMS_flavTag_JES_Absolute,0.0,1.0114264819255687,0.0,0.9985418738460982,0.0,0.9872609543948853
CMS_flavTag_JES_Absolute_2024,0.0,1.0578680443085828,0.0,0.9880609781821272,0.0,0.9340115560706996
CMS_flavTag_JES_BBEC1,0.0,0.9833494131959729,0.0,0.9972105953793565,0.0,1.0140958869730075
CMS_flavTag_JES_BBEC1_2024,0.0,0.7839307311621362,0.0,0.9930257515362544,0.0,1.2667263982165182
CMS_flavTag_JES_FlavorQCD,0.0,1.0435883587795085,0.0,0.9986436976596,0.0,0.9569325771586108
CMS_flavTag_JES_RelativeBal,0.0,0.7491156713843907,0.0,0.9662760666598451,0.0,1.289889003221805
CMS_flavTag_JES_RelativeSample_2024,0.0,0.9331521439611717,0.0,0.9978820436426806,0.0,1.0693669302486244
CMS_flavTag_LHE_PDF_ttbar,0.0,0.9998362335121651,0.0,0.9999401177158235,0.0,1.0001039012191961
CMS_flavTag_LHE_PDF_wjets,0.0,0.9996828667886523,0.0,0.9997464526878931,0.0,1.0000636060708383
CMS_flavTag_LHE_PDF_zjets,0.0,0.9787405456390539,0.0,0.9996614714418713,0.0,1.0213753541692272
CMS_flavTag_LHE_aS_ttbar,0.0,0.9995384486179099,0.0,0.9998962899694661,0.0,1.0003580065899926
CMS_flavTag_LHE_aS_zjets,0.0,0.9775864636041085,0.0,0.9998892303207629,0.0,1.022814111638197
CMS_flavTag_LHE_muF_singlet,0.0,0.9999165356103162,0.0,0.9999836606276341,0.0,1.0000671306203341
CMS_flavTag_LHE_muF_ttbar,0.0,1.0080036919596675,0.0,0.99692025082468,0.0,0.989004562956074
