376 shared parameters, 109 combine-only, 0 rabbit-only
  combine-only: ['CMS_flavTag_EleTrigger', 'CMS_flavTag_LHE_PDF_diboson', 'CMS_flavTag_LHE_PDF_singlet', 'CMS_flavTag_LHE_aS_diboson', 'CMS_flavTag_LHE_aS_singlet', 'CMS_flavTag_LHE_aS_wjets', 'CMS_flavTag_LHE_muF_diboson', 'CMS_flavTag_LHE_muR_diboson', 'CMS_flavTag_Lumi_2024', 'CMS_flavTag_MET_UnclEnergy', 'CMS_flavTag_PS_FSR_diboson', 'CMS_flavTag_PS_ISR_diboson'] ...

  |dvalue|/sigma : max 0.000  median 0.0000
  error ratio    : min 0.340  max 4.559  median 1.0001

  43 parameters outside tolerance (dv/sigma > 0.05, |ratio-1| > 0.05)

parameter                                         combine             rabbit   dv/sig  err ratio
CMS_flavTag_JES_Absolute_2024             0.0000+-1.0579     0.0000+-0.9881     0.000      0.934
CMS_flavTag_JES_BBEC1_2024                0.0000+-0.7839     0.0000+-0.9930     0.000      1.267
CMS_flavTag_JES_RelativeBal               0.0000+-0.7491     0.0000+-0.9663     0.000      1.290
CMS_flavTag_JES_RelativeSample_2024       0.0000+-0.9332     0.0000+-0.9979     0.000      1.069
CMS_flavTag_LHE_muF_zjets                 0.0000+-0.9061     0.0000+-0.9972     0.000      1.101
CMS_flavTag_PS_FSR_zjets                  0.0000+-0.9019     0.0000+-0.9899     0.000      1.098
CMS_flavTag_Stat_flavB_C0_2024            0.0000+-2.8150     0.0000+-0.9889     0.000      0.351
CMS_flavTag_Stat_flavC_B0_2024            0.0000+-0.6169     0.0000+-0.3018     0.000      0.489
CMS_flavTag_Stat_flavC_B1_2024            0.0000+-0.9792     0.0000+-0.6126     0.000      0.626
CMS_flavTag_Stat_flavC_B2_2024            0.0000+-1.2564     0.0000+-0.9750     0.000      0.776
CMS_flavTag_Stat_flavC_C0_2024            0.0000+-0.8282     0.0000+-0.4598     0.000      0.555
CMS_flavTag_Stat_flavC_C1_2024            0.0000+-0.4939     0.0000+-0.3070     0.000      0.621
CMS_flavTag_Stat_flavC_C2_2024            0.0000+-0.5823     0.0000+-0.3101     0.000      0.533
CMS_flavTag_Stat_flavL_B0_2024            0.0000+-0.5253     0.0000+-0.3772     0.000      0.718
CMS_flavTag_Stat_flavL_B1_2024            0.0000+-1.5525     0.0000+-0.8639     0.000      0.556
CMS_flavTag_Stat_flavL_B2_2024            0.0000+-1.0646     0.0000+-0.9804     0.000      0.921
CMS_flavTag_Stat_flavL_C1_2024            0.0000+-1.2918     0.0000+-0.9986     0.000      0.773
CMS_flavTag_Stat_flavL_C2_2024            0.0000+-0.4283     0.0000+-0.2533     0.000      0.591
CMS_flavTag_Stat_flavL_C3_2024            0.0000+-1.2474     0.0000+-0.5703     0.000      0.457
CMS_flavTag_Stat_flavL_C4_2024            0.0000+-1.0133     0.0000+-0.5783     0.000      0.571
CMS_flavTag_xsec_zjets_c                  0.0000+-1.0246     0.0000+-0.8809     0.000      0.860
CMS_pileup_2024                           0.0000+-0.8131     0.0000+-0.8828     0.000      1.086
LHE_muR_ttLF_2024                         0.0000+-1.0307     0.0000+-0.9440     0.000      0.916
PS_fsr_G2GG_muR_ttLF_2024                 0.0000+-0.9922     0.0000+-0.8673     0.000      0.874
PS_fsr_G2QQ_muR_ttLF_2024                 0.0000+-1.1970     0.0000+-0.9871     0.000      0.825
PS_fsr_Q2QG_muR_ttLF_2024                 0.0000+-1.0044     0.0000+-0.9458     0.000      0.942
PS_fsr_Q2QG_muR_ttcj_2024                 0.0000+-1.0559     0.0000+-0.9903     0.000      0.938
PS_fsr_X2XG_muR_ttLF_2024                 0.0000+-1.0612     0.0000+-0.9298     0.000      0.876
PS_isr_G2GG_muR_ttLF_2024                 0.0000+-1.0823     0.0000+-0.9576     0.000      0.885
jer                                       0.0000+-0.3247     0.0000+-0.9175     0.000      2.826
jes_BBEC1_2024                            0.0000+-0.2346     0.0000+-0.9890     0.000      4.215
jes_FlavorQCD                             0.0000+-2.4684     0.0000+-0.8387     0.000      0.340
met                                       0.0000+-0.2154     0.0000+-0.9819     0.000      4.559
minorBkg_PS_FSR_singletop_2024            0.0000+-0.9652     0.0000+-0.8678     0.000      0.899
minorBkg_PS_FSR_wjets_2024                0.0000+-0.9311     0.0000+-0.9822     0.000      1.055
norm_wjets                                0.0000+-0.9708     0.0000+-0.8466     0.000      0.872
topHdampWeight_ttLF_2024                  0.0000+-1.0296     0.0000+-0.8767     0.000      0.851
tt-vcb                                    1.0000+-0.3001     1.0000+-0.2817     0.000      0.939
xsec_tt2c                                 1.0000+-0.7626     1.0000+-0.5101     0.000      0.669
xsec_ttbb                                 1.0000+-0.1709     1.0000+-0.1398     0.000      0.818

wrote Comparison_250826_preUnblinding/compare/orig_SR_legB.csv
