parameter,combine_value,combine_error,rabbit_value,rabbit_error,dvalue_over_sigma,error_ratio
CMS_flavTag_Stat_flavC_C2_2024,-0.0910705933775934,0.12821096128136647,0.3704919397008386,0.23806802295518012,3.6000239641406786,1.8568460962766349
jes_BBEC1_2024,-0.7832850448878431,0.5887644304347194,0.8940447596198025,0.7416484966652507,2.8488979934966085,1.2596693317863106
xsec_tt2c,1.4120870459909944,0.2861334318464918,0.8158820249416285,0.3161926375573227,-2.083660819366347,1.1050531058773914
xsec_ttcc,1.00551200067101,0.2448935340293614,0.7997680577310675,0.1561296854805208,-0.8401362810799039,0.6375410690173703
CMS_flavTag_Stat_flavL_B0_2024,0.3826452746075212,0.48445914623520314,0.7459404510771832,0.4009053538011927,0.7498984781129172,0.8275318092695366
CMS_flavTag_Stat_flavC_C1_2024,-0.1978306075048389,0.20594893129597697,-0.0495216434948045,0.12130877394028393,0.7201249507670132,0.5890235660701075
norm_wjets,1.532778057515522,0.8308994124538264,0.952664931389571,0.8451106022881381,-0.6981749143530516,1.017103381734671
xsec_ttLF,0.9180091598827151,0.08239197722375288,0.8622853574148065,0.0541933690496414,-0.6763255883103624,0.6577505586796129
xsec_ttbb,0.8726891359876773,0.14163443835348208,0.7858657079688703,0.10415235155728203,-0.6130107128473842,0.7353603598677415
xsec_tt2b,1.1395104458843919,0.22671780106706088,1.013007359558699,0.18493619411880272,-0.5579759759943794,0.81571095541854
jes_Absolute,-0.2995619237991026,0.6863456380241583,0.07393225037585267,1.243242833885595,0.5441779673142016,1.8113946749404923
CMS_flavTag_Stat_flavC_B0_2024,0.34911211617921,0.2876363566735518,0.48954518805951075,0.37193651054231625,0.4882312983809726,1.2930789238317308
met,1.3038510164420798,0.6182964929324358,1.0412421496688395,0.6704151650005514,-0.4247296722123519,1.0842939797716284
xsec_ttbj,1.445639407406913,0.3103282197218709,1.3374884305848735,0.24938763555933724,-0.3485051308545799,0.8036253866401477
CMS_pileup_2024,0.3736551689521072,0.9789502988831175,0.6499904659888851,0.9422515246263282,0.2822771466049383,0.9625121170107831
jes_FlavorQCD,-0.173541525335696,1.035481945852509,0.09925200597273226,1.0862796167304483,0.263445956157003,1.0490570319274062
jes_BBEC1,0.005392824081844396,0.6303644030283397,-0.14461601454410308,0.7814242083291618,-0.23797162070905106,1.2396388574213808
CMS_flavTag_Stat_flavL_C4_2024,0.8866366068970785,0.547687602129349,1.0164623094026617,0.5559250696053467,0.23704334734040944,1.0150404490515603
CMS_flavTag_Stat_flavC_B1_2024,0.5136641385897147,0.5843082516626731,0.6454186833815964,0.6759842891544869,0.22548807828225717,1.1568967017510807
CMS_flavTag_JES_RelativeBal,0.0008407368777930131,0.9873257248276015,0.21088517337654922,0.9855950009627636,0.21274077157812574,0.9982470588770084
bFragWeight_2024,0.09397696927799248,0.6455592029238375,0.22829390686086803,0.6358402311360141,0.20806292741941151,0.9849448791934113
PS_fsr_G2QQ_muR_tt2c_2024,-0.12341179387930154,0.967796402748918,0.07303023492863514,0.9877734152070954,0.20297867221862467,1.0206417510970642
CMS_flavTag_Stat_flavL_C2_2024,0.3618238696011974,0.44037079144467883,0.45104910690336714,0.3144243459630508,0.20261388592430882,0.7139990936536718
jes_RelativeSample_2024,-0.023092490468274718,1.0179755600343792,0.17845774172805592,0.9362755791044161,0.19799122897363455,0.9197426891788995
PS_isr_G2GG_muR_tt2c_2024,0.21356631790148978,0.9848243783655144,0.020109560479615107,0.991770954001812,-0.1964378235061052,1.0070536186846093
CMS_flavTag_PU_2024,-0.019576657554763077,0.9948513142435835,-0.2112260712209395,0.9924733320155434,-0.19264126299304682,0.9976097109246439
CMS_flavTag_xsec_zjets_b,0.08670495894739468,0.9948896566976281,0.26774815961249393,0.9806746336825414,0.1819731459125249,0.985711960196399
topHdampWeight_ttLF_2024,-0.07477285821890114,0.9275209463613308,-0.22757184317942505,0.8915943984250003,-0.16473912051253944,0.9612660521821416
CMS_flavTag_Stat_flavL_B1_2024,0.4207036601502314,0.8713742085331246,0.2843082411079826,0.8880622339922264,-0.15652909818372696,1.0191513878832774
PS_fsr_G2QQ_cNS_tt2c_2024,0.2535407277435682,0.969057272075579,0.10463737388411007,0.9757441016530266,-0.15365794999972385,1.0069003450777738
CMS_flavTag_xsec_zjets_c,-0.0061434429654854865,0.9624498211744617,0.14055902955711563,0.9354711000160325,0.15242609982885397,0.9719686984558764
CMS_flavTag_JES_BBEC1_2024,-0.042502413563356066,0.9970644059616867,0.1021708596552836,1.0024684919904994,0.1450992256403935,1.0054199969395161
PS_fsr_G2GG_cNS_ttLF_2024,0.04329897448778893,0.989631144332757,0.17753652317260749,0.9865333968984111,0.13564402197075767,0.9968697959314584
LHE_muR_ttLF_2024,0.046924835904556525,0.9798718569171436,-0.08212664277626243,0.9402029206543532,-0.13170240350288104,0.9595162000186471
CMS_flavTag_MuTrigger,-0.04302927085904425,0.9981338378081351,0.08372333804943803,1.0021084340762132,0.12698959208398977,1.003982027377016
PS_fsr_Q2QG_muR_ttcc_2024,0.09971973986341169,0.9920355387766558,-0.026003995049942982,1.0017399360807033,-0.12673309574009098,1.009782308117726
PS_isr_G2GG_cNS_ttLF_2024,-0.08367662950215157,0.9972380383651127,0.040607408984377445,0.9922768002328396,0.12462825695085014,0.9950250211670559
CMS_flavTag_MuIso,-0.03807322853137723,0.9983257365358996,0.08282632588096259,1.001821748478821,0.1211023115880498,1.003501875004297
CMS_flavTag_MuID,-0.03911941005677932,0.9982947696572552,0.07620511402420795,1.0019563768783635,0.11552151487338921,1.003667861770292
CMS_flavTag_Stat_flavB_C0_2024,0.15581097852305228,0.984223342217919,0.26698203430382667,0.9865302684675672,0.1129530778352133,1.0023439052405012
PS_fsr_Q2QG_muR_tt2c_2024,0.12075205933621531,0.9910598880103645,0.014282208668022942,0.9958705932866928,-0.10743028948728768,1.0048541014872332
PS_fsr_G2QQ_cNS_ttLF_2024,0.1016475438181608,0.9933402339779535,0.2006368678310487,0.9947763239919238,0.09965298960706842,1.0014457181586407
minorBkg_PS_FSR_singletop_2024,-0.4019908334194181,0.9142016238420824,-0.4930407974598681,0.9009727361191003,-0.09959505831743942,0.9855295731510676
CMS_flavTag_JES_Absolute_2024,0.0053787537215779155,0.9954546175919481,0.10246419785266878,1.0054263614497803,0.0975287495937737,1.0100172762088886
PS_fsr_X2XG_muR_ttbj_2024,-0.14382868883312883,0.9651648958531419,-0.2366767641990542,0.9615313552348296,-0.09619918395794308,0.996235316230497
topHdampWeight_ttcj_2024,-0.035553892452623366,0.9997237115501928,0.0593984185986713,0.9884112848605261,0.09497855252833766,0.9886844469537235
CMS_flavTag_PS_ISR_wjets,-0.0044985861714134665,0.9971512399569333,0.08755388935406892,1.0039421464019336,0.0923154601196285,1.0068103073765355
CMS_flavTag_JEReta1p93to2p5_2024,-0.03119309644190387,0.9989072174654043,0.059824844781336275,1.0006621534807896,0.09111751284987828,1.0017568558768033
xsec_ttcj,0.7056975967475999,0.5591950100757999,0.7564633552474019,0.4350018224615851,0.09078364002733258,0.7779071962795587
CMS_flavTag_LHE_muR_wjets,-0.009452048625091967,0.9984920524486564,0.08061708580257673,1.0037590450659903,0.09020515907641655,1.0052749469606868
jes_RelativeBal,0.0040738827718992295,0.5982072771753116,0.05794107462858323,0.7309932136813218,0.09004770405174724,1.221973121311755
PS_isr_Q2QG_muR_ttLF_2024,0.05987633254842991,0.9954704137471257,-0.024474393139631883,0.9860168682447028,-0.08473453808692397,0.9905034390054466
norm_ttbb-dps,0.14158179267765036,1.0238673770933153,0.2257115904162588,1.0202107542557708,0.08216864764013361,0.9964286167140851
PS_isr_G2GG_muR_ttLF_2024,0.16412038178960886,0.9811593637558976,0.08434257951668932,0.9581125312237017,-0.08130972930587801,0.9765106124615962
PS_isr_G2GG_muR_ttcc_2024,0.0559490332481043,0.9976670184191337,-0.020517281793678753,0.9956780425783378,-0.07664512671066219,0.998006373064284
PS_isr_G2GG_muR_ttbj_2024,-0.10704037916771607,0.99720613184525,-0.1829134064244643,0.9945657728474447,-0.07608560039272048,0.9973522435196829
CMS_flavTag_PS_FSR_zjets,0.022443238578331304,0.9954143543529962,0.09763689470488046,1.0007269673353114,0.07554005605577575,1.0053370869719558
minorBkg_PS_FSR_wjets_2024,-0.7364894785007156,0.9830376121870429,-0.6637837084579556,1.00360187455694,0.07396031356420385,1.0209191002612261
CMS_flavTag_xsec_wjets_b,-0.0314302295468308,0.9985966781502416,0.04146585594952412,1.0016446866205153,0.07299852592278253,1.003052291818074
PS_fsr_X2XG_muR_ttcc_2024,-0.006745221344495747,0.9982834064515771,-0.07947038862519022,1.0002749908594248,-0.07285022150092414,1.0019950090274734
PS_fsr_G2GG_muR_ttcc_2024,0.104083078638608,0.9945155943968783,0.032508942374910914,0.9907714367977496,-0.07196884258723267,0.9962351946814878
PS_isr_G2QG_cNS_ttLF_2024,-0.03442551963322923,0.9991659218897102,0.03737630367989578,0.9987045327618621,0.07186176163547202,0.99953822571633
CMS_flavTag_HDamp_ttbar,-0.11004955261586168,0.9875766911386522,-0.18041542050454484,0.9820101750918532,-0.07125104158498619,0.9943634594692783
CMS_flavTag_Stat_flavL_C1_2024,-0.03233081933039512,0.9989286263160913,0.0380357150402646,0.9980016975749523,0.07044200408007291,0.9990720771066924
CMS_flavTag_Stat_flavL_B4_2024,0.016966605313065136,0.9936073524124815,-0.05215184870321387,0.9948635806862266,-0.06956314669819944,1.0012643105656323
CMS_flavTag_Stat_flavL_C3_2024,0.08301329317409668,0.49167420360408687,0.116954927038095,0.4542988835887206,0.06903277335926555,0.9239835652523635
PS_fsr_G2GG_cNS_tt2c_2024,0.008867524862980076,0.9972525695795867,0.07626512493389255,0.998939076933983,0.06758328043148125,1.0016911536814663
CMS_flavTag_Stat_flavB_B4_2024,0.02077127932846362,0.9759254147275734,-0.04498590591492622,0.9691028723201213,-0.06737931429088333,0.9930091559206329
PS_fsr_X2XG_muR_tt2b_2024,0.09413817639440512,0.9946902194892147,0.027934111208110526,0.9947590143393167,-0.06655747074731586,1.0000691620855962
PS_fsr_X2XG_muR_tt2c_2024,0.010026663271891483,0.9903703759921052,-0.054627552933846475,0.9966340860730959,-0.06528286565616473,1.006324613733237
PS_isr_G2GG_muR_ttcj_2024,0.07468778853988642,0.9987380340860152,0.010971334435191086,0.9945707755223918,-0.0637969636982983,0.9958274758531279
