parameter,combine_value,combine_error,rabbit_value,rabbit_error,dvalue_over_sigma,error_ratio
CMS_elEff,0.0,0.9982869765406501,0.0,0.9982526882008592,0.0,0.9999656528226886
CMS_elScale,0.0,0.9875981902228588,0.0,0.9999848896486884,0.0,1.0125422459745845
CMS_elSmear,0.0,0.999805448173881,0.0,0.9999948188640972,0.0,1.000189407539799
CMS_flavTag_BDecay_ttbar,0.0,0.9994709594469605,0.0,0.9996308197385175,0.0,1.0001599449089
CMS_flavTag_CDecay_ttbar,0.0,0.9997282912179561,0.0,0.9996886769508684,0.0,0.9999603749664426
CMS_flavTag_EleID,0.0,0.9996098198737605,0.0,0.9996957121286615,0.0,1.0000859257814332
CMS_flavTag_EleReco,0.0,0.9998578630121253,0.0,0.9998542828537901,0.0,0.9999964193327195
CMS_flavTag_EleScale,0.0,0.9999699308020602,0.0,0.999968166824081,0.0,0.9999982359689777
CMS_flavTag_EleSmear,0.0,0.9999848499000539,0.0,0.9999690234231965,0.0,0.9999841732833663
CMS_flavTag_EleTrigger,0.0,0.9999835698612204,0.0,0.9999786736872521,0.0,0.9999951037455856
CMS_flavTag_HDamp_ttbar,0.0,0.9630971412338281,0.0,0.9630603880334099,0.0,0.9999618385323301
CMS_flavTag_JEReta0to1p93_2024,0.0,0.9994965259444903,0.0,0.9996216407271175,0.0,1.0001251778064049
CMS_flavTag_JEReta1p93to2p5_2024,0.0,0.9987855612846465,0.0,0.9985071145499401,0.0,0.9997212146976292
CMS_flavTag_JES_Absolute,0.0,0.9984527845929545,0.0,0.9982530226122736,0.0,0.9997999284655584
CMS_flavTag_JES_Absolute_2024,0.0,0.9897860210702338,0.0,0.9894602362900116,0.0,0.9996708533225495
CMS_flavTag_JES_BBEC1,0.0,0.9974971863749126,0.0,0.9967453285150506,0.0,0.9992462556585303
CMS_flavTag_JES_BBEC1_2024,0.0,0.9950628766172043,0.0,0.99447968315788,0.0,0.9994139129566296
CMS_flavTag_JES_FlavorQCD,0.0,0.9979678901774831,0.0,0.9984896696665551,0.0,1.0005228419613572
CMS_flavTag_JES_RelativeBal,0.0,0.9721864851908232,0.0,0.9713481083639768,0.0,0.9991376378507444
CMS_flavTag_JES_RelativeSample_2024,0.0,0.9980864671200298,0.0,0.9980241254941922,0.0,0.9999375388527033
CMS_flavTag_LHE_PDF_ttbar,0.0,0.9997974535375553,0.0,0.9998659445167277,0.0,1.0000685048545883
CMS_flavTag_LHE_PDF_wjets,0.0,0.9995712822403954,0.0,0.9996465263896802,0.0,1.0000752764216236
CMS_flavTag_LHE_PDF_zjets,0.0,0.998881681212448,0.0,0.9993243310614838,0.0,1.0004431454268923
CMS_flavTag_LHE_aS_ttbar,0.0,0.999722033296409,0.0,0.9997106940310482,0.0,0.9999886575818246
CMS_flavTag_LHE_aS_wjets,0.0,1.0000000000968827,0.0,0.9999999999791044,0.0,0.9999999998822217
CMS_flavTag_LHE_aS_zjets,0.0,0.9999312409437848,0.0,0.9999610654395374,0.0,1.0000298265465979
CMS_flavTag_LHE_muF_singlet,0.0,0.9999961169820162,0.0,0.9999979281601913,0.0,1.000001811185208
CMS_flavTag_LHE_muF_ttbar,0.0,0.9967006816580609,0.0,0.996691938806759,0.0,0.9999912282077631
CMS_flavTag_LHE_muF_wjets,0.0,0.998302566409781,0.0,0.9978546208338025,0.0,0.9995512927733028
CMS_flavTag_LHE_muF_zjets,0.0,0.997421255724493,0.0,0.9979970121453038,0.0,1.0005772449880193
CMS_flavTag_LHE_muR_ttbar,0.0,0.9772776464350335,0.0,0.9773925054046394,0.0,1.0001175295168419
CMS_flavTag_LHE_muR_wjets,0.0,0.9970228216268858,0.0,0.996899583024211,0.0,0.9998763933984242
CMS_flavTag_LHE_muR_zjets,0.0,0.999153534141554,0.0,0.9989204776801804,0.0,0.9997667460971614
CMS_flavTag_MuID,0.0,0.9974997329963429,0.0,0.9972113357784967,0.0,0.9997108799047195
CMS_flavTag_MuIso,0.0,0.9975543518762392,0.0,0.9971792157989356,0.0,0.99962394422259
