381 shared parameters, 67 combine-only, 0 rabbit-only
  combine-only: ['prop_binVcb_cat2B_CR_bin0', 'prop_binVcb_cat2B_CR_bin1', 'prop_binVcb_cat2B_CR_bin2', 'prop_binVcb_cat2B_CR_bin3', 'prop_binVcb_cat2B_CR_bin4', 'prop_binVcb_cat2B_CR_bin5', 'prop_binVcb_cat2B_CR_bin6', 'prop_binVcb_cat2B_CR_bin7', 'prop_binVcb_cat2C_CR_bin0', 'prop_binVcb_cat2C_CR_bin1', 'prop_binVcb_cat2C_CR_bin2', 'prop_binVcb_cat2C_CR_bin3'] ...

  |dvalue|/sigma : max 0.000  median 0.0000
  error ratio    : min 0.714  max 3.732  median 1.0000

  10 parameters outside tolerance (dv/sigma > 0.05, |ratio-1| > 0.05)

parameter                                         combine             rabbit   dv/sig  err ratio
CMS_flavTag_Stat_flavC_C1_2024            0.0000+-0.1661     0.0000+-0.1337     0.000      0.805
CMS_flavTag_Stat_flavL_B0_2024            0.0000+-0.3286     0.0000+-0.3052     0.000      0.929
CMS_flavTag_Stat_flavL_C2_2024            0.0000+-0.1379     0.0000+-0.1225     0.000      0.888
CMS_flavTag_Stat_flavL_C4_2024            0.0000+-0.4789     0.0000+-0.3418     0.000      0.714
jer                                       0.0000+-0.6025     0.0000+-0.9330     0.000      1.549
jes_Absolute_2024                         0.0000+-0.9094     0.0000+-0.9683     0.000      1.065
jes_BBEC1_2024                            0.0000+-0.2653     0.0000+-0.9901     0.000      3.732
jes_RelativeBal                           0.0000+-0.9030     0.0000+-0.9483     0.000      1.050
met                                       0.0000+-0.2829     0.0000+-0.9819     0.000      3.471
xsec_tt2c                                 1.0000+-0.2941     1.0000+-0.3504     0.000      1.191

wrote Comparison_250826_preUnblinding/compare/smoothed_SR_legA.csv
